marca,modelo,titulo,valor,cidade,bairro,ano,km,link
Ford,Ecosport XLT,Ford Ecosport XLT 1.6/ 1.6 Flex 8V 5P 2011,26500,Candeias,Nova Brasília,2011.0,190000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-xlt-1-6-1-6-flex-8v-5p-2011-1482714631
Chevrolet,S10 P-up Advant.,Chevrolet S10 P-up Advant. 2.4/2.4 MPFI F.power CD 2007,43500,Salvador,Sete de Abril,2007.0,159000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-s10-p-up-advant-2-4-2-4-mpfi-f-power-cd-2007-1482717177
Fiat,Strada Endurance,Fiat Strada Endurance 1.4 Flex 8V C 2022,42500,Salvador,Caminho das Árvores,2022.0,,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-endurance-1-4-flex-8v-c-2022-1482611693
Volkswagen,Polo,Volkswagen Polo 1.6 Mi/s.ouro 1.6 MI Tot.flex 8V 5P 2008,34900,Lauro de Freitas,Centro,2008.0,165411.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-1-6-mi-s-ouro-1-6-mi-tot-flex-8v-5p-2008-1482611619
Volkswagen,Polo,Volkswagen Polo 1.0 MPI Flex 12V 5P 2023,69900,Salvador,Costa Azul,2023.0,35000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-1-0-mpi-flex-12v-5p-2023-1482661653
Volkswagen,Polo Track,Volkswagen Polo Track 1.0 Flex 12V 5P 2025,84090,Salvador,São Cristóvão,2025.0,40458.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-track-1-0-flex-12v-5p-2025-1482722347
Chevrolet,Onix Hatch LT,Chevrolet Onix Hatch LT 1.0 12V TB Flex Mec. 4P 2025,72490,Salvador,Água de Meninos,2025.0,47466.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-hatch-lt-1-0-12v-tb-flex-mec-4p-2025-1482722023
Jeep,Compass Long. T270,Jeep Compass Long. T270 1.3 TB 4X2 Flex AUT 2024,153890,Salvador,São Cristóvão,2024.0,22859.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-long-t270-1-3-tb-4x2-flex-aut-2024-1482722036
Volkswagen,Polo Track,Volkswagen Polo Track 1.0 Flex 12V 5P 2025,87490,Salvador,São Cristóvão,2025.0,16443.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-track-1-0-flex-12v-5p-2025-1482721996
Chevrolet,Onix Hatch LTZ,Chevrolet Onix Hatch LTZ 1.0 12V TB Flex Aut. 5P 2024,90790,Salvador,Água de Meninos,2024.0,32396.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-hatch-ltz-1-0-12v-tb-flex-aut-5p-2024-1482721713
Fiat,Strada Endurance,Fiat Strada Endurance 1.3 Flex 8V CS 2025,97090,Lauro de Freitas,Recreio Ipitanga,2025.0,19990.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-endurance-1-3-flex-8v-cs-2025-1482721496
